File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,"GUI::MainWindow::pivotingErrorHandler( const QString& description, LinearProgramming::SolutionType type )",34,28,13,7,6,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,GUI::MainWindow::openFileHandler(const QString& filename),28,25,11,5,3,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,GUI::MainWindow::saveFileHandler(const QString& filename),26,23,9,3,3,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,GUI::MainWindow::loadData(const QString& fileName),92,76,41,16,11,0,5,11,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,GUI::MainWindow::saveData(const QString& fileName),54,49,24,9,4,0,1,5,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,GUI::MainWindow::loadSettings(),13,12,6,0,1,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,GUI::MainWindow::saveSettings(),9,8,6,0,1,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,GUI::MainWindow::on_graphical_solutionPlotQCustomPlot_selectionChangedByUser(),55,53,13,4,2,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,GUI::MainWindow::on_graphical_solutionPlotQCustomPlot_mousePress(QMouseEvent* ev),28,28,8,2,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,GUI::MainWindow::on_graphical_solutionPlotQCustomPlot_mouseWheel(QWheelEvent* ev),28,28,8,2,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,GUI::MainWindow::on_graphical_solutionPlotQCustomPlot_mouseMove(QMouseEvent* ev),15,14,4,0,1,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,"GUI::MainWindow::on_anyProgramModel_dataChanged( const QModelIndex& topLeft, const QModelIndex& bottomRight, const QVector<int>& roles)",9,8,6,1,1,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,"GUI::MainWindow::on_anyProgramModel_dimensionsChanged( const QModelIndex& parent, int start, int end )",5,5,3,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,GUI::MainWindow::on_anyProgramModel_modelReset(),9,8,6,1,1,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,GUI::MainWindow::on_program_constrsSpinBox_valueChanged(int arg1),25,22,10,2,3,2,0,7,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,GUI::MainWindow::on_program_varsSpinBox_valueChanged(int arg1),25,22,10,2,3,2,0,7,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,GUI::MainWindow::on_program_realRadioButton_toggled(bool checked),5,5,3,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,GUI::MainWindow::on_program_rationalRadioButton_toggled(bool checked),5,5,3,1,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,GUI::MainWindow::on_control_solveSimplexPushButton_clicked(),2,2,2,0,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,GUI::MainWindow::on_control_solveGraphicalPushButton_clicked(),2,2,2,0,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,GUI::MainWindow::on_control_clearPushButton_clicked(),2,2,2,0,0,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,GUI::MainWindow::on_control_testPushButton_clicked(),6,5,4,0,1,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,GUI::MainWindow::on_simplex_startPushButton_clicked(),25,18,13,4,4,0,3,21,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,GUI::MainWindow::on_simplex_stepBackPushButton_clicked(),22,20,11,6,2,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,GUI::MainWindow::on_simplex_stepForwardPushButton_clicked(),36,31,16,8,5,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\mainwindow.cxx,GUI::MainWindow::on_simplex_manualPivotCheckBox_toggled(bool checked),6,6,4,1,0,0,0,0,
